90805,Long Beach,Arizona,West,United States
91104,Pasadena,California,West,United States
92024,San Diego,California,West,United States
92037,San Diego,Michigan,West,United States
92105,San Diego,California,West,United States
92345,Hesperia,Texas,West,United States
92374,Redlands,California,West,United States
92530,Lake Elsinore,California,West,United States
92646,Huntington Beach,Kentucky,West,United States
92691,Mission Viejo,California,West,United States
92704,Santa Ana,California,West,United States
92804,Anaheim,California,West,United States
93534,Lancaster,California,West,United States
93905,Salinas,California,West,United States
94109,San Francisco,Florida,West,United States
94110,San Francisco,California,West,United States
94122,San Francisco,California,West,United States
94513,Brentwood,Florida,West,United States
94521,Concord,Connecticut,West,United States
94591,Vallejo,California,West,United States
95051,Santa Clara,Illinois,West,United States
95123,San Jose,California,West,United States
95661,Roseville,California,West,United States
97206,Portland,Oregon,West,United States
97301,Salem,Oregon,West,United States
98105,Seattle,Washington,West,United States
98115,Seattle,Washington,West,United States
98198,Des Moines,Washington,West,United States
98270,Marysville,Washington,West,United States
98661,Vancouver,Washington,West,United States
