OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Black,Office Supplies,Storage,2016-03-30,,,,,2
OFF-SU-10000432,Acco Side-Punched Conventional Columnar Pads,Blue,Office Supplies,Supplies,2016-04-12,,,,,0
TEC-AC-10000303,Logitech M510 Wireless Mouse,Pink,Technology,Accessories,2015-11-16,,,8.47E+11,,2
TEC-AC-10001590,Dell Slim USB Multimedia Keyboard,Blue,Technology,Accessories,2016-03-11,,10,,,0
TEC-AC-10002942,WD My Passport Ultra 1TB Portable External Hard Drive,Blue,Technology,Accessories,2017-01-17,Hailey Jeans Co.,,8.70E+11,,3
TEC-AC-10003023,Logitech G105 Gaming Keyboard,Pink,Technology,Accessories,2016-03-21,,,,,0
TEC-AC-10003027,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,Pink,Technology,Accessories,2016-08-27,SNEED,,,599 g,0
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Blue,Furniture,Bookcases,2016-03-30,,,,,3
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Blue,Furniture,Bookcases,2015-08-17,2(x)ist,,,,6
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Black,Furniture,Bookcases,2016-01-15,,22,,,4
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Blue,Furniture,Bookcases,2016-08-23,,,,,2
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Pink,Furniture,Bookcases,2016-01-14,,,,,0
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Blue,Furniture,Bookcases,2016-03-22,,,,,4
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Blue,Furniture,Bookcases,2016-09-24,BCBG Max Azria,,7.26E+11,,0
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Blue,Furniture,Bookcases,2016-03-07,,10.5,7.00E+11,,5
FUR-BO-10001608,"Hon Metal Bookcases, Black",Pink,Furniture,Bookcases,2016-04-25,,,7.95E+11,,3
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Blue,Furniture,Bookcases,2016-03-21,,,,,0
FUR-BO-10001798,Bush Somerset Collection Bookcase,Pink,Furniture,Bookcases,2016-04-01,,9,6.40E+11,,4
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Blue,Furniture,Bookcases,2016-09-27,,7.5,8.89E+11,,2
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Pink,Furniture,Bookcases,2015-11-09,,,8.41E+11,,2
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,White,Furniture,Bookcases,2017-01-09,New Balance,"5.5,7,9.5,4,4.5,11.5,8",8.90E+11,,0
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Black,Furniture,Bookcases,2017-01-22,Kickers,7,8.48E+11,,0
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Blue,Furniture,Bookcases,2016-03-04,,12,8.85E+11,,1
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Blue,Furniture,Bookcases,2016-06-08,,,31652192010,,0
FUR-BO-10002268,Sauder Barrister Bookcases,Blue,Furniture,Bookcases,2016-02-02,,,,,3
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Blue,Furniture,Bookcases,2016-10-05,Jordan,"10,10.5,11,11.5,12,13,14,8,8.5,9,9.5",8.87E+11,,0
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Blue,Furniture,Bookcases,2016-01-02,,,,,3
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Pink,Furniture,Bookcases,2017-01-17,RJ's Fuzzies,,8.50E+11,,2
FUR-BO-10002824,Bush Mission Pointe Library,Blue,Furniture,Bookcases,2016-07-26,,,,,2
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Blue,Furniture,Bookcases,2016-08-02,Annie Shoes,,8.89E+11,,2
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Pink,Furniture,Bookcases,2016-01-15,,,,,0
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Black,Furniture,Bookcases,2015-11-16,Qianyuyu,,,499 g,3
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Blue,Furniture,Bookcases,2016-02-14,,,8.85E+11,,5
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Blue,Furniture,Bookcases,2017-01-17,Okabashi,"8 - 8.5,6.6 - 7.5",42929137740,,2
FUR-BO-10003433,Sauder Cornerstone Collection Library,Blue,Furniture,Bookcases,2017-01-16,MIA,"6,6.5",8.88E+11,,0
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Blue,Furniture,Bookcases,2017-01-30,Crocs,,8.87E+11,,2
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Pink,Furniture,Bookcases,2016-04-01,,10,8.87E+11,,0
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Blue,Furniture,Bookcases,2017-01-09,,6,8.88E+11,,0
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Black,Furniture,Bookcases,2016-01-25,,,,,0
FUR-BO-10003893,Sauder Camden County Collection Library,Pink,Furniture,Bookcases,2016-04-01,,,7.62E+11,,4
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Blue,Furniture,Bookcases,2016-05-21,,,8.87E+11,,0
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Blue,Furniture,Bookcases,2016-11-07,COSMAS JAVA,,,,0
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Blue,Furniture,Bookcases,2017-01-12,Tod's,,7.52E+11,,0
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Blue,Furniture,Bookcases,2017-01-12,Robert Wayne,"10.5,8.5,10,9.5,9,11.5,13,11,12",8.41E+11,,6
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Blue,Furniture,Bookcases,2017-01-12,Qupid,"5.5,6,7,7.5,8",,,0
TEC-AC-10001606,Logitech Wireless Performance Mouse MX for PC and Mac,Blue,Technology,Accessories,2015-07-20,Dr. Scholl's,"10,6.5,9,6.5M,7.5M,7M,8.5M,6M,11M,10M,8M,9.5M",93633909055,,6
TEC-AC-10001714,Logitech�MX Performance Wireless Mouse,Pink,Technology,Accessories,2016-11-04,Danshuz,,8.21E+11,,4
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Black,Technology,Accessories,2016-06-20,,12,8.83E+11,,2
TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Blue,Technology,Accessories,2015-12-25,,,,,4
TEC-AC-10001838,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Blue,Technology,Accessories,2016-11-15,,,6.81E+11,,4
TEC-AC-10001874,Logitech Wireless Anywhere Mouse MX for PC and Mac,Blue,Technology,Accessories,2016-08-23,,,8.86E+11,,0
TEC-AC-10001908,Logitech Wireless Headset h800,Black,Technology,Accessories,2016-05-21,,,,,2
TEC-AC-10001956,Microsoft Arc Touch Mouse,Pink,Technology,Accessories,2017-01-20,,,8.89E+11,,0
TEC-AC-10001990,Kensington Orbit Wireless Mobile Trackball for PC and Mac,White,Technology,Accessories,2016-04-08,,18,8.87E+11,,2
TEC-AC-10001998,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Black,Technology,Accessories,2016-03-27,Helly Hansen,,,1.1 Kg,0
TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Blue,Technology,Accessories,2017-01-12,Lugz,,7.37E+11,,3
TEC-AC-10002006,Memorex Micro Travel Drive 16 GB,Blue,Technology,Accessories,2016-11-11,DbDk Fashion,"5.5,7,6,6.5,7.5,8",,,4
TEC-AC-10002018,AmazonBasics 3-Button USB Wired Mouse,Pink,Technology,Accessories,2016-03-11,,,,,0
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Black,Technology,Accessories,2016-10-31,Baretraps,6,8.25E+11,,2
TEC-AC-10002076,Microsoft Natural Keyboard Elite,Pink,Technology,Accessories,2016-03-15,,,,,0
TEC-AC-10002134,Rosewill 107 Normal Keys USB Wired Standard Keyboard,Pink,Technology,Accessories,2016-03-11,,,,,4
TEC-AC-10002167,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,Pink,Technology,Accessories,2016-10-05,Michael Kors,,8.89E+11,,4
TEC-AC-10002217,Imation�Clip USB�flash drive�- 8 GB,Blue,Technology,Accessories,2016-10-28,VANS,,8.89E+11,,6
TEC-AC-10002253,Imation Bio 8GB USB�Flash Drive Imation�Corp,Blue,Technology,Accessories,2016-11-02,TOMS,,8.90E+11,,4
TEC-AC-10002305,KeyTronic�E03601U1 -�Keyboard�- Beige,Blue,Technology,Accessories,2016-04-09,,11.5,8.88E+11,,2
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Pink,Technology,Accessories,2015-11-03,,,,,0
TEC-AC-10002331,"Maxell 74 Minute CDR, 10/Pack",Black,Technology,Accessories,2016-11-07,THE ORIGINAL MUCK BOOT CO.,,,,5
TEC-AC-10002335,Logitech Media Keyboard K200,Pink,Technology,Accessories,2016-06-19,,,8.89E+11,,3
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Blue,Technology,Accessories,2017-01-23,,"10,8.5,7,6,7.5,9,8",8.70E+11,,0
TEC-AC-10002399,SanDisk Cruzer 32 GB USB Flash Drive,Blue,Technology,Accessories,2017-01-17,John Deere,,6.79E+11,,0
TEC-AC-10002402,Razer Kraken PRO Over Ear PC and Music Headset,Blue,Technology,Accessories,2016-11-11,Naturalizer,,93636314443,,4
TEC-AC-10002473,Maxell 4.7GB DVD-R,Blue,Technology,Accessories,2016-10-05,Slippers International,,7.12E+11,,0
TEC-AC-10002550,Maxell 4.7GB DVD-RW 3/Pack,Blue,Technology,Accessories,2016-01-02,,,,,4
TEC-AC-10002558,Imation�Swivel�Flash Drive�USB�flash drive�- 8 GB,Blue,Technology,Accessories,2017-01-27,,,7.58E+11,,0
TEC-AC-10002567,Logitech G602 Wireless Gaming Mouse,Blue,Technology,Accessories,2016-11-11,Jordan,10,6.60E+11,,2
TEC-AC-10002600,Belkin QODE FastFit Bluetooth Keyboard,Blue,Technology,Accessories,2016-11-02,Rubies,,8.83E+11,,5
TEC-AC-10002637,Logitech�VX Revolution Cordless Laser Mouse for Notebooks (Black),Blue,Technology,Accessories,2017-01-14,,,6.77E+11,,2
TEC-AC-10002647,"Logitech�Wireless Boombox Speaker - portable - wireless, wired",Blue,Technology,Accessories,2016-03-22,,"38,40,42,46,44,48,50",,,0
TEC-AC-10002718,Belkin Standard 104 key USB Keyboard,Blue,Technology,Accessories,2016-01-01,,,,,5
TEC-AC-10002800,Plantronics Audio 478 Stereo USB Headset,Pink,Technology,Accessories,2016-02-14,,,6.62E+11,,5
TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive,Blue,Technology,Accessories,2015-12-02,,,,,3
TEC-AC-10002857,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",Blue,Technology,Accessories,2017-01-12,Mephisto,,8.87E+11,3.0 lbs,4
TEC-AC-10002926,Logitech Wireless Marathon Mouse M705,Blue,Technology,Accessories,2016-05-06,,,,,0
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Blue,Technology,Accessories,2015-07-12,,,,,0
TEC-AC-10003038,Kingston Digital DataTraveler 16GB USB 2.0,Black,Technology,Accessories,2016-03-20,,16,,,3
TEC-AC-10003063,Micro Innovations USB RF Wireless Keyboard with Mouse,Black,Technology,Accessories,2016-04-08,,24,7.16E+11,,0
TEC-AC-10004761,Maxell 4.7GB DVD+RW 3/Pack,Blue,Technology,Accessories,2016-01-02,,,,,3
TEC-AC-10004803,Sony Micro Vault Click 4 GB USB 2.0 Flash Drive,White,Technology,Accessories,2016-03-21,,,,,0
TEC-AC-10004855,V7 USB Numeric Keypad,Blue,Technology,Accessories,2017-01-28,,,44212688076,,0
TEC-AC-10004859,"Maxell Pro 80 Minute CD-R, 10/Pack",Pink,Technology,Accessories,2016-06-12,,,8.88E+11,,0
TEC-AC-10004864,Memorex Micro Travel Drive 32 GB,Black,Technology,Accessories,2017-01-27,GameDay Boots,,8.49E+11,,0
TEC-AC-10004877,Imation�30456 USB�Flash Drive�8GB,Blue,Technology,Accessories,2016-03-11,,,,,1
TEC-AC-10004901,"Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ",Blue,Technology,Accessories,2016-11-11,Hush Puppies,,7.84E+11,,4
TEC-AC-10004975,Plantronics Audio 995 Wireless Stereo Headset,Black,Technology,Accessories,2016-03-11,,"30,32,36,33,34,38",,,2
TEC-AC-10004992,Kingston Digital DataTraveler 64GB USB 2.0,Blue,Technology,Accessories,2016-11-10,,,6.48E+11,,2
TEC-CO-10000971,Hewlett Packard 310 Color Digital Copier,Blue,Technology,Copiers,2015-11-16,Qianyuyu,,,499 g,0
TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Pink,Technology,Copiers,2017-01-27,Eastland,,94352249484,,4
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Blue,Technology,Copiers,2015-11-09,,,,,2
TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,White,Technology,Copiers,2016-03-22,,16,8.72E+11,,0
TEC-CO-10001766,Canon PC940 Copier,Blue,Technology,Copiers,2016-04-01,,8,8.86E+11,,0
TEC-CO-10001943,Canon PC-428 Personal Copier,Pink,Technology,Copiers,2017-01-12,,,6.45E+11,,6
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Pink,Technology,Copiers,2017-01-27,Forum Novelties,,7.22E+11,,0
TEC-CO-10002313,Canon PC1080F Personal Copier,Black,Technology,Copiers,2016-01-01,,,,,4
TEC-CO-10003236,Canon Image Class D660 Copier,Blue,Technology,Copiers,2017-01-12,Mizuno,"6.5,7,7.5,9,9.5",41969089743,,5
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Blue,Technology,Copiers,2016-11-01,VALUE BRAND,,,,0
TEC-CO-10004115,Sharp AL-1530CS Digital Copier,Blue,Technology,Copiers,2016-06-14,,,8.83E+11,,2
TEC-CO-10004202,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Blue,Technology,Copiers,2016-03-06,,11.5,8.88E+11,,0
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Pink,Technology,Copiers,2016-03-04,,15,8.85E+11,,0
TEC-MA-10000029,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Black,Technology,Machines,2016-04-10,,11,,,0
TEC-MA-10000112,Panasonic KX MB2061 Multifunction Printer,Blue,Technology,Machines,2017-01-17,Sebago,,44212089958,,0
TEC-MA-10000418,Kodak Cubify CubeX 3D Printer Double Head Print,Blue,Technology,Machines,2016-11-04,,,8.89E+11,,0
TEC-MA-10000423,Texas Instruments TI-34 Scientific Calculator,Blue,Technology,Machines,2015-11-16,Qianyuyu,,,499 g,0
TEC-MA-10000488,Bady BDG101FRU Card Printer,Blue,Technology,Machines,2016-10-28,New Balance,,8.88E+11,,2
TEC-MA-10000597,Lexmark S315 Color Inkjet Printer,Black,Technology,Machines,2017-01-09,Journee Collection,"8.5,10,7,9.5,7.5,9,8",8.70E+11,,0
TEC-MA-10000752,Texas Instrument TI-15 Fraction Calculator,Blue,Technology,Machines,2015-10-20,,,,,3
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Black,Technology,Machines,2016-03-26,,,,,0
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Blue,Technology,Machines,2016-02-14,,,7.27E+11,,0
TEC-MA-10000904,"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",Pink,Technology,Machines,2016-03-15,,,,,0
TEC-MA-10001016,Canon PC170 Desktop Personal Copier,Blue,Technology,Machines,2016-04-12,,,7.02E+11,,0
TEC-MA-10001031,Socket Bluetooth Cordless Hand Scanner (CHS),White,Technology,Machines,2015-11-16,Qianyuyu,,,499 g,0
TEC-MA-10001047,"Nikon 3D Systems Cube Printer, 2nd Generation, Magenta",Pink,Technology,Machines,2017-01-17,Mia Girl,"6,6.5,9",8.88E+11,,1
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",White,Technology,Machines,2016-11-02,,,8.86E+11,,2
TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Blue,Technology,Machines,2016-05-11,,,,,0
TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,Blue,Technology,Machines,2016-05-06,,,,,0
TEC-MA-10001856,Okidata C610n Printer,Blue,Technology,Machines,2016-07-28,,,,,0
TEC-MA-10001972,Okidata C331dn Printer,Blue,Technology,Machines,2016-01-01,,"XS,S,L,M,2X,XL",,,2
TEC-MA-10002073,"Nikon 3D Systems Cube Printer, 2nd Generation, White",Pink,Technology,Machines,2016-04-30,,,6.03E+11,,0
TEC-MA-10002178,Cisco CP-7937G Unified IP Conference Station Phone,Blue,Technology,Machines,2016-10-05,Fabrique,,7.47E+11,,0
TEC-MA-10002210,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Blue,Technology,Machines,2017-01-17,Cape Robbin,"7,6,5",4.00E+11,,6
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Blue,Technology,Machines,2016-03-30,,,,,2
TEC-MA-10002428,Fellowes Powershred HS-440 4-Sheet High Security Shredder,Black,Technology,Machines,2017-01-17,Coach,10,8.90E+11,,6
TEC-MA-10002694,Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,Blue,Technology,Machines,2015-11-30,,,33977046467,,2
TEC-MA-10002790,NeatDesk Desktop Scanner & Digital Filing System,Pink,Technology,Machines,2016-02-14,,,1.06E+11,,4
TEC-MA-10002859,Ativa MDM8000 8-Sheet Micro-Cut Shredder,Blue,Technology,Machines,2017-01-09,,"10,6,6.5,8,11",8.88E+11,,0
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Pink,Technology,Machines,2016-10-05,Jordan,,8.85E+11,,2
TEC-MA-10002930,Ricoh - Ink Collector Unit for GX3000 Series Printers,Pink,Technology,Machines,2016-11-10,Timberland,"8.5,8",8.88E+11,,0
TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Black,Technology,Machines,2016-10-05,Aston Grey Collection,,,,0
TEC-MA-10002981,I.R.I.S IRISCard Anywhere 5 Card Scanner,Blue,Technology,Machines,2017-01-09,Reliable of Milwuakee,"13,11,9",33977129559,,0
TEC-MA-10003066,Wasp CCD Handheld Bar Code Reader,Blue,Technology,Machines,2016-11-07,Nike,,8.83E+11,,3
TEC-MA-10003173,Hewlett-Packard 300S Scientific Calculator,Pink,Technology,Machines,2016-04-12,,11.5,8.88E+11,,3
TEC-MA-10003176,Okidata B400 Printer,Blue,Technology,Machines,2016-01-02,,,,,0
TEC-MA-10003183,DYMO CardScan Personal V9 Business Card Scanner,Blue,Technology,Machines,2016-11-01,,,1.90E+11,,0
TEC-MA-10003246,Hewlett-Packard Deskjet D4360 Printer,Black,Technology,Machines,2017-01-16,Naturalizer,,93641550942,,7
TEC-MA-10003329,"Vtech AT&T CL2940 Corded Speakerphone, Black",White,Technology,Machines,2016-02-14,,,,,0
TEC-MA-10003337,Okidata B401 Printer,Blue,Technology,Machines,2016-02-02,,,8875428752,,0
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Pink,Technology,Machines,2016-08-29,PUMA,,8.88E+11,,2
TEC-MA-10003356,Panasonic KX MC6040 Color Laser Multifunction Printer,Pink,Technology,Machines,2015-11-16,Qianyuyu,,,499 g,0
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Blue,Technology,Machines,2016-07-09,,,8.89E+11,,0
TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,Blue,Technology,Machines,2015-11-01,,,8.83E+11,,0
TEC-MA-10004125,Kodak Cubify CubeX 3D Printer Triple Head Print,Pink,Technology,Machines,2016-03-31,,8.5,8.84E+11,,2
TEC-MA-10004212,Cisco SPA525G2 5-Line IP Phone,Black,Technology,Machines,2016-03-04,,11,8.89E+11,,2
TEC-MA-10004241,Star Micronics TSP800 TSP847IIU Receipt Printer,Blue,Technology,Machines,2016-11-01,ELLIE SHOES,,8.43E+11,,0
TEC-MA-10004626,Lexmark 20R1285 X6650 Wireless All-in-One Printer,Blue,Technology,Machines,2016-02-16,,,,,3
TEC-MA-10004679,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,White,Technology,Machines,2015-12-02,,,,,0
TEC-PH-10000004,Belkin iPhone and iPad Lightning Cable,Pink,Technology,Phones,2016-03-11,,,,,5
TEC-PH-10000011,PureGear Roll-On Screen Protector,Black,Technology,Phones,2016-04-10,,8,8.85E+11,,0
TEC-PH-10000038,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,Black,Technology,Phones,2016-06-08,,,,,0
TEC-PH-10000127,iOttie XL Car Mount,Black,Technology,Phones,2017-01-09,,,8.88E+11,,2
TEC-PH-10000141,Clearsounds A400,Blue,Technology,Phones,2017-01-23,Alfani,"10,5.5,8.5,7,6,5,9.5,6.5,7.5,9,11",7.06E+11,,4
TEC-PH-10000148,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,Blue,Technology,Phones,2016-01-01,,,,,4
TEC-PH-10000149,Cisco SPA525G2 IP Phone - Wireless,Pink,Technology,Phones,2015-11-16,Qianyuyu,,,499 g,0
TEC-PH-10000169,ARKON Windshield Dashboard Air Vent Car Mount Holder,Blue,Technology,Phones,2015-11-16,Qianyuyu,,,499 g,0
TEC-PH-10000193,Jensen SMPS-640 -�speaker phone,Blue,Technology,Phones,2016-03-11,,"8,12",,,3
TEC-PH-10000213,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,Blue,Technology,Phones,2016-02-02,,9,8.88E+11,,0
TEC-PH-10000215,Plantronics Cordless�Phone Headset�with In-line Volume - M214C,Blue,Technology,Phones,2016-04-08,,,7.99E+11,,0
TEC-PH-10000307,Shocksock Galaxy S4 Armband,Blue,Technology,Phones,2016-02-07,,,,,0
TEC-PH-10000347,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,Blue,Technology,Phones,2016-10-27,Pleaser Shoes,10,8.85E+11,,0
TEC-PH-10000369,HTC One Mini,Pink,Technology,Phones,2017-01-27,Icebug,,,,2
